date,lat,lon
01/02/2009 0:50,40.6166667,29.0666667
1/13/09 1:51,-25.8744444,28.1705556
1/15/09 10:24,53.9666667,-1.0833333
01/11/2009 8:59,39.04361,-77.48778
1/15/09 15:56,34.05222,-118.24278
01/01/2009 12:19,47.25028,-122.2925
01/06/2009 14:03,40.71417,-74.00639
01/09/2009 15:32,51.2666667,-1.0833333
1/17/09 12:59,52.0833333,4.3
01/12/2009 12:37,33.9525,-84.55
01/04/2009 7:43,29.76306,-95.36306
1/17/09 16:22,40.79861,-74.23944
01/01/2009 3:51,52.35,4.9166667
1/18/09 5:27,33.94,-118.13167
1/18/09 5:15,52.7205556,-7.5825
01/01/2009 1:51,55.8166667,12.4666667
1/18/09 6:30,47.2,8.75
01/11/2009 10:51,50.0833333,8.45
01/04/2009 17:02,37.88583,-122.11694
1/17/09 1:23,29.2891667,48.05
1/18/09 2:16,33.94556,-93.84694
1/18/09 11:34,51.4166667,-0.25
1/18/09 4:38,54.65,-1.6666667
1/18/09 13:26,53.6527778,-6.6813889
1/18/09 11:53,39.43361,-76.35806
1/18/09 12:04,39.43361,-76.35806
1/13/09 19:54,40.70694,-74.95639
01/05/2009 21:06,38.25417,-85.75944
1/14/09 6:32,39.04361,-77.48778
01/04/2009 23:48,62.45,-114.35
1/18/09 16:32,34.05222,-118.24278
1/18/09 17:04,40.71417,-74.00639
1/18/09 17:20,44.94444,-93.09306
1/18/09 17:39,40.71417,-74.00639
01/11/2009 11:20,45.10778,-93.23778
1/13/09 20:59,49.8833333,-97.1666667
01/12/2009 16:50,47.60639,-122.33083
01/12/2009 15:12,39.83806,-75.15306
01/06/2009 12:27,52.35,4.9166667
01/09/2009 18:52,34.07528,-84.29417
1/18/09 23:17,38.895,-77.03667
01/07/2009 8:21,59.9666667,10.6666667
01/03/2009 9:54,41.1980556,29.0302778
01/05/2009 19:37,38.895,-77.03667
01/04/2009 12:49,45.5,-73.5833333
01/08/2009 11:55,52.2666667,10.5333333
1/14/09 18:21,33.96083,-83.37806
01/11/2009 19:01,34.09639,-83.76139
1/14/09 5:20,47.5333333,7.5666667
1/15/09 8:07,42.48944,-83.14472
1/15/09 8:10,42.48944,-83.14472
01/02/2009 17:45,42.39583,-71.17917
1/19/09 16:10,41.02278,-73.56528
1/19/09 16:55,25.71222,-80.25722
01/10/2009 17:41,38.90111,-77.26556
1/18/09 13:49,37.78,-121.97694
1/15/09 5:47,36.84667,-76.28556
1/19/09 23:06,36.84667,-76.28556
1/19/09 11:12,57.1333333,-2.1
01/04/2009 1:38,-32.95,151.6666667
1/20/09 3:11,53.5333333,-2.6166667
01/03/2009 10:52,39.01806,-77.20889
1/20/09 5:24,32.525,-93.75
1/20/09 6:03,32.525,-93.75
01/10/2009 11:37,40.33667,-74.0475
1/20/09 5:50,54.8333333,-3.2833333
1/19/09 16:32,39.95222,-75.16417
1/18/09 10:42,33.74889,-84.38806
01/07/2009 6:11,48.8666667,2.3333333
01/03/2009 8:29,52.0333333,-0.7
01/01/2009 2:09,51.05,13.75
1/20/09 12:34,40.71417,-74.00639
1/20/09 3:51,-24.8166667,152.4166667
1/15/09 11:26,42.33167,-71.12167
01/05/2009 16:55,45.6,-73.6166667
01/12/2009 19:47,32.81389,-96.94861
01/04/2009 19:20,41.66417,-83.64333
01/10/2009 8:33,37.38417,-122.23417
01/09/2009 14:51,-33.8833333,151.2166667
1/16/09 2:41,40.66,-111.99556
1/16/09 18:36,-34.4333333,150.8833333
1/20/09 8:10,40.65,-73.95
01/06/2009 12:45,38.29972,-122.66556
01/10/2009 8:13,41.67361,-88.00167
01/07/2009 14:15,37.50722,-122.25944
01/08/2009 15:27,41.85,-87.65
1/21/09 11:36,59.9166667,10.75
1/21/09 14:06,40.68361,-73.51056
01/02/2009 2:28,-27.8833333,153.3
1/19/09 19:07,34.94889,-85.25694
1/18/09 6:27,39.24167,-74.81556
1/20/09 11:58,32.85722,-116.92139
1/20/09 16:32,26.30972,-80.2375
01/01/2009 7:09,26.70528,-80.03667
1/21/09 14:55,40.71417,-74.00639
01/07/2009 22:29,61.21806,-149.90028
01/11/2009 22:22,-33.6666667,151.3
1/21/09 14:25,52.55,4.6666667
1/18/09 16:50,40.4497,-74.482
1/21/09 12:08,30.33194,-81.65583
1/22/09 6:41,29.73528,-94.97722
01/12/2009 9:23,28.02194,-81.73306
1/22/09 8:23,47.65889,-117.425
01/03/2009 6:41,55.6,13
01/01/2009 12:20,35.9202778,14.4425
01/04/2009 22:00,50.0833333,8.25
1/21/09 2:15,51.52721,0.14559
01/01/2009 14:22,58.9666667,5.75
1/16/09 1:07,51.8986111,-8.4958333
1/20/09 8:51,42.45222,-71.1375
01/04/2009 9:02,51.0833333,-114.0833333
01/06/2009 8:34,32.78333,-96.8
01/08/2009 4:16,53.4508333,-6.1544444
1/23/09 3:33,44.94444,-93.09306
01/06/2009 4:18,55.95,-3.2
1/23/09 3:30,52.3,5.15
01/10/2009 4:04,53.1666667,8.2
01/05/2009 2:57,48.0833333,-1.6833333
1/21/09 14:15,39.2475,-114.88778
1/21/09 6:39,36.84667,-76.28556
1/19/09 8:14,29.76306,-95.36306
1/23/09 8:00,47.4166667,19.0833333
1/22/09 23:35,41.98111,-89.595
1/14/09 3:09,56.3333333,-3.25
1/16/09 1:51,48.2,16.3666667
01/01/2009 6:29,45.55,11.55
1/21/09 7:59,39.89694,-76.16389
1/23/09 7:37,25.77389,-80.19389
1/18/09 14:39,38.99056,-77.02639
1/24/09 9:01,56.6666667,-3
1/15/09 1:41,43.25,5.6166667
1/17/09 7:23,45.52361,-122.675
1/23/09 11:37,40.56472,-74.1275
1/19/09 15:02,29.42389,-98.49333
01/11/2009 7:10,51.2166667,-0.5666667
01/10/2009 3:28,59.4136111,10.4669444
01/07/2009 19:03,39.64778,-104.98722
1/17/09 14:02,29.42389,-98.49333
1/25/09 0:09,22.22361,-159.48528
01/09/2009 14:27,53.3786111,-6.3922222
01/09/2009 14:32,53.3786111,-6.3922222
01/11/2009 15:59,51.8666667,0.1666667
01/06/2009 14:38,52.0833333,4.3
01/06/2009 9:52,37.88583,-122.11694
01/01/2009 9:21,53.8166667,-3.05
01/03/2009 7:58,55.7333333,12.5833333
01/11/2009 11:36,51.51334,-0.08895
1/13/09 14:53,42.68361,-78.33806
01/01/2009 10:06,48.15,11.5833333
1/16/09 5:07,47.9666667,-0.2333333
01/06/2009 16:37,30.26694,-97.74278
1/18/09 17:21,40.98917,-74.14111
1/13/09 15:18,40.88528,-73.37667
1/24/09 8:21,48.25,16.3
1/24/09 8:25,48.25,16.3
1/18/09 13:06,44.90333,-93.56611
1/22/09 18:44,32.94111,-97.13389
01/08/2009 8:58,40.86806,-73.42611
01/04/2009 9:54,30.15778,-95.48917
1/13/09 20:22,49.9,-119.4833333
01/09/2009 10:22,36.47028,-86.65139
01/05/2009 12:28,55.8841667,12.5419444
1/26/09 3:43,41.37222,-73.73389
1/26/09 3:49,43.6333333,7.1
01/11/2009 13:16,26.12194,-80.14361
1/22/09 15:32,53.2522222,-6.1125
01/09/2009 14:25,47.9,-2.1166667
1/21/09 11:28,38.89028,-77.08444
01/01/2009 14:19,51.7,-113.2666667
1/26/09 4:30,38.99806,-77.28861
